nohup: ignoring input
[2026-08-25 11:40:58] 🚀 Auto-switch daemon started. Monitoring XĂNG (3 Seeds: 42, 123, 777)...
[2026-08-25 11:40:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-26 13:19:46] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:19:46] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:20:46] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:20:46] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:21:46] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:21:46] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:22:46] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:22:46] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:23:46] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:23:46] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:24:46] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:24:46] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:25:46] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:25:46] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:26:47] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:26:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:27:47] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:27:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:28:47] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:28:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:29:47] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:29:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:30:47] Status: XĂNG 980/987 completed (99.29%) | 7 jobs remaining
[2026-08-26 13:30:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123), ('GUMNet_Adaptive', 60, 777)]
[2026-08-26 13:31:47] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:31:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:32:47] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:32:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:33:47] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:33:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:34:47] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:34:47] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:35:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:35:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:36:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:36:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:37:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:37:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:38:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:38:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:39:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:39:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:40:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:40:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:41:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:41:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:42:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:42:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:43:48] Status: XĂNG 981/987 completed (99.39%) | 6 jobs remaining
[2026-08-26 13:43:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Decomp', 60, 123), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:44:48] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:44:48] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:45:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:45:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:46:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:46:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:47:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:47:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:48:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:48:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:49:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:49:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:50:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:50:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:51:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:51:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:52:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:52:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:53:49] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:53:49] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:54:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:54:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:55:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:55:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:56:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:56:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:57:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:57:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:58:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:58:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 13:59:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 13:59:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 14:00:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 14:00:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 14:01:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 14:01:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 14:02:50] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 14:02:50] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 14:03:51] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 14:03:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 14:04:51] Status: XĂNG 982/987 completed (99.49%) | 5 jobs remaining
[2026-08-26 14:04:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777), ('GUMNet_Adaptive', 60, 123)]
[2026-08-26 14:05:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:05:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:06:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:06:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:07:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:07:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:08:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:08:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:09:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:09:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:10:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:10:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:11:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:11:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:12:51] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:12:51] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:13:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:13:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:14:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:14:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:15:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:15:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:16:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:16:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:17:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:17:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:18:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:18:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:19:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:19:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:20:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:20:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:21:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:21:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:22:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:22:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:23:52] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:23:52] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:24:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:24:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:25:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:25:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:26:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:26:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:27:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:27:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:28:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:28:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:29:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:29:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:30:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:30:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:31:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:31:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:32:53] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:32:53] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:33:54] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:33:54] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:34:54] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:34:54] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
[2026-08-26 14:35:54] Status: XĂNG 983/987 completed (99.59%) | 4 jobs remaining
[2026-08-26 14:35:54] Remaining XĂNG jobs: [('GUMNet_MoE_Sparse', 60, 123), ('GUMNet_MoE_Sparse', 60, 777), ('GUMNet_Fusion', 60, 123), ('GUMNet_Fusion', 60, 777)]
